Public RD&D spending in Million,,Source: IEA All rights reserved ( http://www.iea.org/t&c/termsandconditions/ ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country,Currency,Economic Indicators,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021 Estimated,2022 Estimated
Australia,USD (2021 prices and PPP),Other cross-cutting technologies/research,..,..,..,..,..,0,11.191,14.936,..,13.269,..,0.514,..,0.74,..,3.018,..,..,..,22.361,..,30.07,..,23.689,..,11.691,..,23.033,..,35.947,143.085,88.335,99.742,116.234,116.9,9.186,9.967,6.747,12.234,7.495,0.176,1.762,2.042,1.971,14.007,25.82,25.93,31.234,..
Australia,USD (2021 prices and PPP),Unallocated,..,..,..,..,..,0,0,0,..,0,..,0,..,0,..,0,..,..,..,0,..,0,..,0,..,0,..,0,..,0,0,0,0,0,0,0,0,0,0,0,6.173,2.091,5.607,2.635,0,0,0,0,..
Australia,USD (2021 prices and PPP),Total Budget ,..,..,..,..,..,67.102,128.166,152.437,..,221.311,..,139.075,..,112.736,..,141.277,..,..,..,155.791,..,157.573,..,207.359,..,176.171,..,185.683,..,170.87,341.567,242.588,263.91,292.549,297.824,408.096,408.497,475.943,623.662,767.596,247.6,224.824,134.889,155.947,231.117,170.312,211.449,278.912,..
Australia,Euro (2021 prices and exchange rates),Energy efficiency,..,..,..,..,..,0,15.448,18.212,..,27.574,..,16.898,..,9.011,..,9.401,..,..,..,8.735,..,17.54,..,12.423,..,11.324,..,15.199,..,14.116,49.253,30.992,28.058,30.459,36.371,32.497,103.369,74.588,54.026,53.33,22.048,21.991,15.875,20.061,32.292,20.707,31.305,26.576,..
Australia,Euro (2021 prices and exchange rates),Fossil fuels ,..,..,..,..,..,42.204,59.36,68.3,..,95.367,..,66.123,..,56.302,..,62.808,..,..,..,88.734,..,75.987,..,139.073,..,107.039,..,105.087,..,86.631,54.851,51.794,60.052,63.453,59.893,247.981,175.52,197.55,297.903,242.905,115.581,48.095,31.305,48.445,47.743,33.215,31.138,88.244,..
Australia,Euro (2021 prices and exchange rates),Renewables ,..,..,..,..,..,20.236,28.492,35.28,..,27.83,..,18.084,..,1.749,..,7.982,..,..,..,14.357,..,6.746,..,10.023,..,16.163,..,17.188,..,16.861,39.402,28.045,35.93,43.426,38.223,73.173,76.923,149.002,193.814,385.18,70.032,113.087,41.552,48.872,52.869,27.912,41.622,26.357,..
Australia,Euro (2021 prices and exchange rates),Nuclear,..,..,..,..,..,0,0,0,..,32.18,..,20.378,..,35.372,..,31.956,..,..,..,1.511,..,9.861,..,1.452,..,4.31,..,4.722,..,1.404,31.112,21.145,16.298,13.903,21.675,2.395,2.337,4.592,8.735,6.616,5.848,6.809,12.979,7.149,6.833,6.929,10.329,11.457,..
Australia,Euro (2021 prices and exchange rates),Hydrogen and fuel cells,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.304,0,0.185,0.582,0.277,1.015,1.902,1.893,0.17,1.38,3.024,3.098,2.871,4.194,34.747,31.137,34.876,63.644,..
Australia,Euro (2021 prices and exchange rates),Other power and storage technologies ,..,..,..,..,..,0,5.55,6.157,..,10.662,..,7.455,..,1.799,..,16.508,..,..,..,10.824,..,8.512,..,7.941,..,14.217,..,9.155,..,6.54,9.77,11.561,12.242,12.245,11.917,14.138,10.797,8.979,14.308,17.891,7.961,12.54,13.818,12.106,27.547,14.555,23.363,14.194,..
Australia,Euro (2021 prices and exchange rates),Other cross-cutting technologies/research,..,..,..,..,..,0,10.413,13.899,..,12.347,..,0.478,..,0.689,..,2.809,..,..,..,20.807,..,27.981,..,22.043,..,10.88,..,21.433,..,33.45,133.145,82.199,92.814,108.159,108.78,8.548,9.274,6.278,11.384,6.974,0.163,1.64,1.9,1.834,13.033,24.026,24.129,29.064,..
Australia,Euro (2021 prices and exchange rates),Unallocated,..,..,..,..,..,0,0,0,..,0,..,0,..,0,..,0,..,..,..,0,..,0,..,0,..,0,..,0,..,0,0,0,0,0,0,0,0,0,0,0,5.744,1.946,5.218,2.453,0,0,0,0,..
Australia,Euro (2021 prices and exchange rates),Total Budget ,..,..,..,..,..,62.441,119.263,141.848,..,205.938,..,129.414,..,104.905,..,131.463,..,..,..,144.969,..,146.628,..,192.955,..,163.934,..,172.785,..,159.001,317.841,225.737,245.578,272.228,277.136,379.748,380.121,442.882,580.34,714.276,230.401,209.206,125.518,145.114,215.063,158.482,196.762,259.538,..
Austria,National currency (nominal),Energy efficiency,..,..,..,5.543,6.498,6.251,8.519,7.594,9.307,7.437,11.442,10.324,9.534,6.861,9.338,4.666,4.484,5.607,4.865,7.465,9.449,8.772,8.946,8.518,6.841,7.629,7.153,9.149,7.919,5.066,9.825,9.809,9.989,7.68,23.531,37.434,55.678,63.699,55.4,55.562,61.738,56.957,66.321,65.747,66.865,74.92,76.768,95.976,..
Austria,National currency (nominal),Fossil fuels ,..,..,..,0.476,0.74,1.6,0.201,1.155,3.271,1.384,1.874,2.346,0.385,0.634,0.738,0.49,0.153,0.796,1.089,1.292,0.831,0.781,1.671,1.695,0.59,0.649,0.445,0.633,0.411,0.461,0.451,0.226,0.925,0.878,2.71,0.496,0.911,1.111,1.283,5.072,0.617,4.43,1.507,2.359,0.6,1.491,1.651,0.784,..
Austria,National currency (nominal),Renewables ,..,..,..,3.13,4.294,5.132,6.51,5.256,5.333,6.178,3.34,3.334,2.593,2.608,4.219,2.4,1.653,3.927,3.498,4.903,6.503,7.833,6.138,7.441,9.824,9.265,6.535,7.926,9.681,9.913,9.544,12.107,13.84,14.82,24.465,32.569,33.637,32.773,28.22,29.477,32.413,22.119,30.487,21.354,23.19,23.506,21.512,20.484,..
Austria,National currency (nominal),Nuclear,..,..,..,5.192,5.569,4.456,4.181,4.533,4.885,6.862,6.97,6.82,2.363,2.182,1.891,1.711,0.849,2.092,1.682,2.104,1.568,1.587,1.394,1.682,2.378,2.952,2.705,3.356,3.466,2.907,3.229,3.334,3.676,3.287,4.453,2.982,3.067,2.627,2.518,2.538,1.51,1.302,1.518,1.215,1.829,1.604,1.568,1.562,..
Austria,National currency (nominal),Hydrogen and fuel cells,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.867,6.436,1.161,2.368,2.644,3.528,2.167,3.766,3.9,8.215,1.696,3.164,4.628,8.079,9.368,8.678,41.133,..
